material_id,bulk_modulus_vrh
mp-862338,113.161
mp-862340,85.089
mp-862360,137.387
mp-862361,145.388
mp-862377,139.753
mp-862431,123.096
mp-862445,268.452
mp-862446,240.988
mp-862473,111.847
mp-862486,123.137
mp-862492,43.284
mp-862543,109.061
mp-862548,76.171
mp-862549,34.711
mp-862555,50.306
mp-862561,181.046
mp-862586,297.088
mp-862589,325.952
mp-862600,216.114
mp-862602,146.391
mp-862604,317.142
mp-862610,174.685
mp-862617,58.815
mp-862620,321.281
mp-862622,270.586
mp-862632,29.043
mp-862655,308.427
mp-862657,144.978
mp-862658,92.453
mp-862662,51.066
mp-862663,71.48
mp-862666,141.67
mp-862667,38.715
mp-862669,219.307
mp-862673,70.948
mp-862677,42.546
mp-862679,151.886
mp-862680,65.63
mp-862684,145.945
mp-862690,24.648
mp-862691,179.509
mp-862694,211.649
mp-862695,185.345
mp-862697,75.034
mp-862699,235.29
mp-862700,270.525
mp-862702,79.681
mp-862705,220.942
mp-862706,201.076
mp-862712,137.361
mp-862713,227.447
mp-862715,180.532
mp-862716,66.506
mp-862717,97.735
mp-862719,80.346
mp-862720,26.36
mp-862721,27.344
mp-862725,219.455
mp-862727,54.069
mp-862728,78.796
mp-862730,148.873
mp-862732,64.957
mp-862733,64.649
mp-862734,58.086
mp-862737,97.049
mp-862740,25.727
mp-862742,62.046
mp-862750,57.57
mp-862754,52.732
mp-862756,66.478
mp-862757,39.675
mp-862759,55.055
mp-862767,54.108
mp-862778,230.759
mp-862779,325.151
mp-862781,230.931
mp-862786,54.864
mp-862790,246.944
mp-862795,44.205
mp-862797,36.494
mp-862800,2.5460000000000003
mp-862805,80.55
mp-862815,82.368
mp-862831,172.516
mp-862832,133.398
mp-862837,77.247
mp-862838,86.005
mp-862841,74.575
mp-862842,63.715
mp-862843,175.731
mp-862844,95.953
mp-862846,44.947
mp-862849,71.229
mp-862854,159.305
mp-862861,108.501
mp-862862,104.598
mp-862863,105.402
mp-862864,111.033
mp-862872,83.952
mp-862874,66.323
mp-862880,90.9
mp-862881,42.236
mp-862882,66.309
mp-862883,48.969
mp-862884,67.273
mp-862886,87.525
mp-862887,98.86
mp-862888,44.865
mp-862891,79.05
mp-862892,60.32
mp-862895,92.632
mp-862897,108.292
mp-862898,90.071
mp-862899,55.77
mp-862901,136.242
mp-862902,40.229
mp-862911,187.175
mp-862912,80.514
mp-862918,40.038
mp-862923,71.516
mp-862927,49.81
mp-862928,41.737
mp-862930,38.084
mp-862934,39.836
mp-862936,60.967
mp-862938,59.195
mp-862942,59.173
mp-862943,43.007
mp-862948,40.01
mp-862949,36.356
mp-862954,117.777
mp-862956,83.851
mp-862962,42.467
mp-862964,39.146
mp-862966,65.448
mp-862969,39.687
mp-862977,86.836
mp-862979,64.38
mp-862980,68.914
mp-862981,60.36
mp-862983,5.376
mp-862984,144.75
mp-862989,78.671
mp-862990,61.036
mp-862993,58.946
mp-862994,58.544
mp-862996,52.402
mp-863026,4.313
mp-863028,2.8
mp-863029,4.864
mp-863260,47.545
mp-863264,3.138
mp-863651,59.553
mp-863654,62.306
mp-863655,56.296
mp-863659,57.209
mp-863664,66.228
mp-863667,64.936
mp-863668,92.175
mp-863669,80.655
mp-863671,83.241
mp-863672,54.634
mp-863674,64.404
mp-863675,65.347
mp-863676,61.633
mp-863677,78.335
mp-863679,185.741
mp-863684,71.259
mp-863685,73.852
mp-863686,64.276
mp-863690,185.408
mp-863695,2.9
mp-863696,54.978
mp-863697,55.755
mp-863698,48.974
mp-863702,54.51
mp-863703,50.105
mp-863704,45.993
mp-863705,48.403
mp-863707,16.554
mp-863709,324.498
mp-863711,145.122
mp-863713,97.769
mp-863715,95.226
mp-863716,97.934
mp-863717,89.451
mp-863725,89.689
mp-863727,154.975
mp-863732,96.963
mp-863733,91.146
mp-863738,101.867
mp-863739,125.414
mp-863740,111.946
mp-863741,92.259
mp-863743,67.211
mp-863749,90.266
mp-863750,121.457
mp-863757,16.33
mp-863759,10.835
mp-863760,34.847
mp-864597,30.009
mp-864598,44.769
mp-864599,88.449
mp-864601,66.418
mp-864606,163.571
mp-864607,132.25
mp-864610,46.7
mp-864612,46.386
mp-864614,70.501
mp-864617,2.955
mp-864618,31.615
mp-864620,42.683
mp-864624,130.834
mp-864625,124.915
mp-864628,67.466
mp-864629,52.345
mp-864630,42.537
mp-864631,175.191
mp-864639,240.518
mp-864640,234.508
mp-864650,272.496
mp-864651,221.392
mp-864654,161.838
mp-864657,2.881
mp-864661,150.032
mp-864668,82.554
mp-864670,245.861
mp-864672,245.129
mp-864675,74.904
mp-864684,189.709
mp-864715,206.086
mp-864734,141.693
mp-864735,242.395
mp-864741,33.91
mp-864743,33.659
mp-864744,113.756
mp-864748,67.859
mp-864756,30.524
mp-864762,40.259
mp-864763,41.92
mp-864770,265.254
mp-864775,70.325
mp-864782,246.749
mp-864784,142.707
mp-864788,210.794
mp-864790,47.035
mp-864796,37.559
mp-864798,211.726
mp-864804,52.714
mp-864807,150.532
mp-864839,156.281
mp-864840,218.128
mp-864857,192.655
mp-864883,112.134
mp-864884,63.398
mp-864889,101.369
mp-864890,180.435
mp-864893,64.746
mp-864895,194.531
mp-864896,93.62
mp-864897,162.384
mp-864898,22.587
mp-864902,131.037
mp-864903,198.121
mp-864904,73.061
mp-864907,121.633
mp-864908,191.279
mp-864909,195.913
mp-864910,149.687
mp-864916,187.509
mp-864919,161.554
mp-864920,114.52
mp-864921,178.265
mp-864922,94.828
mp-864924,58.214
mp-864925,56.12
mp-864926,171.303
mp-864930,190.484
mp-864932,84.193
mp-864933,88.2
mp-864934,76.915
mp-864936,227.345
mp-864938,34.56
mp-864940,120.332
mp-864941,49.044
mp-864943,193.511
mp-864945,171.181
mp-864946,143.606
mp-864949,188.351
mp-864950,228.585
mp-864953,231.986
mp-864954,246.262
mp-864955,153.099
mp-864957,200.874
mp-864961,194.226
mp-864962,38.641
mp-864966,247.412
mp-864968,155.882
mp-864969,106.207
mp-864970,252.159
mp-864971,176.935
mp-864978,73.054
mp-864980,218.933
mp-864982,3.535
mp-864983,228.444
mp-864985,226.37
mp-864988,193.97
mp-864989,255.756
mp-864990,237.182
mp-864992,218.17
mp-864995,71.682
mp-864997,139.601
mp-865001,197.703
mp-865003,214.003
mp-865006,55.262
mp-865007,52.775
mp-865010,197.202
mp-865011,195.796
mp-865020,187.046
mp-865021,219.105
mp-865022,287.886
mp-865023,201.069
mp-865025,244.954
mp-865026,242.884
mp-865027,195.84
mp-865028,41.684
mp-865030,172.957
mp-865032,174.551
mp-865038,222.224
mp-865043,109.21
mp-865048,226.509
mp-865049,128.55
mp-865050,154.665
mp-865051,22.925
mp-865076,69.41
mp-865079,150.486
mp-865090,31.125
mp-865091,175.043
mp-865092,116.982
mp-865093,160.513
mp-865094,218.707
mp-865096,38.106
mp-865097,80.025
mp-865098,55.109
mp-865100,25.727
mp-865107,15.404
mp-865110,24.965
mp-865111,59.904
mp-865115,42.221
mp-865116,41.722
mp-865117,37.926
mp-865119,41.671
mp-865120,132.432
mp-865123,120.303
mp-865125,155.284
mp-865127,23.718
mp-865131,201.65
mp-865138,192.899
mp-865146,182.409
mp-865148,181.984
mp-865149,178.546
mp-865152,124.171
mp-865155,155.745
mp-865162,162.451
mp-865163,189.784
mp-865165,138.178
mp-865166,167.044
mp-865167,32.385
mp-865171,38.477
mp-865172,171.591
mp-865174,169.501
mp-865179,201.248
mp-865183,68.65
mp-865185,76.107
mp-865186,187.256
mp-865187,154.144
mp-865191,223.605
mp-865193,211.803
mp-865194,152.068
mp-865195,147.294
mp-865206,127.101
mp-865211,134.846
mp-865215,161.823
mp-865216,104.247
mp-865224,80.336
mp-865229,231.437
mp-865230,116.23
mp-865231,44.718
mp-865234,226.089
mp-865235,128.39
mp-865240,55.4
mp-865248,179.898
mp-865249,153.366
mp-865254,52.205
mp-865255,182.535
mp-865257,129.806
mp-865262,188.12
mp-865278,260.723
mp-865280,209.082
mp-865282,96.69
mp-865297,65.284
mp-865299,135.447
mp-865308,171.518
mp-865320,115.779
mp-865321,137.722
mp-865322,132.86
mp-865325,118.848
mp-865342,128.64
mp-865353,2.736
mp-865355,137.109
mp-865356,58.554
mp-865357,111.133
mp-865362,146.356
mp-865364,181.822
mp-865373,53.429
mp-865376,43.03
mp-865379,156.439
mp-865382,221.654
mp-865385,233.519
mp-865400,174.749
mp-865402,85.691
mp-865403,76.381
mp-865430,59.171
mp-865434,156.979
mp-865441,158.18
mp-865444,89.908
mp-865446,73.413
mp-865448,212.674
mp-865450,85.675
mp-865459,98.781
mp-865467,65.878
mp-865468,75.342
mp-865469,193.143
mp-865471,229.778
mp-865472,258.765
mp-865482,243.003
mp-865485,261.007
mp-865486,225.829
mp-865490,231.816
mp-865493,6.847
mp-865496,321.065
mp-865497,289.662
mp-865499,275.44
mp-865501,254.239
mp-865502,69.569
mp-865503,71.324
mp-865505,69.509
mp-865506,286.547
mp-865507,250.046
mp-865512,53.873
mp-865515,59.874
mp-865519,179.127
mp-865520,97.382
mp-865521,2.849
mp-865522,87.395
mp-865523,183.807
mp-865525,76.015
mp-865527,70.402
mp-865531,159.093
mp-865537,168.613
mp-865538,193.113
mp-865545,74.428
mp-865547,68.269
mp-865554,224.329
mp-865561,90.313
mp-865562,180.438
mp-865563,111.102
mp-865566,138.683
mp-865569,212.034
mp-865577,44.869
mp-865585,236.881
mp-865586,236.904
mp-865588,92.142
mp-865591,170.681
mp-865592,87.008
mp-865597,75.68
mp-865600,109.327
mp-865602,54.789
mp-865603,119.564
mp-865609,149.694
mp-865611,181.297
mp-865615,228.828
mp-865625,22.948
mp-865640,228.106
mp-865648,33.75
mp-865649,203.459
mp-865650,208.121
mp-865652,207.779
mp-865653,250.96
mp-865656,243.092
mp-865661,38.38
mp-865664,287.241
mp-865669,228.921
mp-865678,195.509
mp-865680,283.881
mp-865681,244.997
mp-865696,143.634
mp-865712,173.551
mp-865717,234.973
mp-865728,194.083
mp-865730,133.602
mp-865731,52.245
mp-865733,287.788
mp-865737,35.36
mp-865738,47.688
mp-865739,53.798
mp-865742,41.342
mp-865743,198.415
mp-865747,72.846
mp-865757,130.602
mp-865768,210.074
mp-865786,152.758
mp-865789,55.757
mp-865791,253.029
mp-865792,196.801
mp-865793,85.14
mp-865795,87.654
mp-865796,128.593
mp-865803,194.966
mp-865805,201.21
mp-865807,208.29
mp-865809,210.128
mp-865810,257.893
mp-865812,50.518
mp-865813,35.189
mp-865814,42.899
mp-865840,223.944
mp-865842,231.602
mp-865845,69.855
mp-865846,163.884
mp-865847,101.128
mp-865857,163.841
mp-865863,48.609
mp-865867,41.319
mp-865868,137.351
mp-865869,173.915
mp-865870,134.753
mp-865874,37.398
mp-865876,225.088
mp-865878,168.312
mp-865879,49.503
mp-865884,138.075
mp-865888,205.955
mp-865893,117.351
mp-865894,68.459
mp-865895,203.806
mp-865896,51.003
mp-865897,35.03
mp-865898,180.042
mp-865899,160.895
mp-865900,108.872
mp-865901,226.523
mp-865903,91.912
mp-865904,268.28
mp-865908,37.023
mp-865912,102.513
mp-865914,226.153
mp-865916,257.696
mp-865919,80.359
mp-865920,45.614
mp-865921,188.646
mp-865925,164.912
mp-865926,123.024
mp-865927,179.412
mp-865928,201.234
mp-865929,136.955
mp-865930,130.031
mp-865931,182.368
mp-865933,230.966
mp-865936,82.734
mp-865939,30.17
mp-865948,213.72
mp-865951,75.286
mp-865952,59.76
mp-865960,352.906
mp-865963,66.916
mp-865964,34.099
mp-865965,40.875
mp-865966,237.931
mp-865979,43.051
mp-865982,102.769
mp-865983,64.458
mp-865984,26.909
mp-865985,135.78
mp-865989,218.535
mp-865990,86.943
mp-865991,45.837
mp-865992,126.934
mp-865995,70.05
mp-865997,43.874
mp-866000,40.129
mp-866001,236.108
mp-866003,3.096
mp-866004,65.736
mp-866005,57.964
mp-866008,61.975
mp-866012,160.36
mp-866014,49.261
mp-866015,43.686
mp-866018,47.092
mp-866020,50.682
mp-866024,183.765
mp-866031,203.229
mp-866033,184.832
mp-866037,173.642
mp-866056,77.703
mp-866061,45.189
mp-866062,228.517
mp-866063,40.013
mp-866067,50.858
mp-866069,127.869
mp-866071,228.974
mp-866073,147.583
mp-866077,57.839
mp-866080,58.309
mp-866086,213.993
mp-866087,179.203
mp-866088,177.082
mp-866094,129.32
mp-866103,38.111
mp-866104,38.807
mp-866107,77.317
mp-866108,106.771
mp-866112,173.786
mp-866114,246.139
mp-866115,193.549
mp-866116,183.596
mp-866117,137.013
mp-866120,66.273
mp-866121,246.21
mp-866125,190.885
mp-866127,218.717
mp-866128,37.535
mp-866131,65.545
mp-866132,24.55
mp-866133,60.239
mp-866134,195.459
mp-866139,189.33
mp-866140,155.629
mp-866141,230.374
mp-866143,203.582
mp-866150,74.266
mp-866152,191.214
mp-866154,241.903
mp-866155,209.627
mp-866156,138.306
mp-866161,251.039
mp-866162,64.686
mp-866163,127.682
mp-866164,61.585
mp-866165,109.638
mp-866166,102.15
mp-866168,125.716
mp-866169,22.656
mp-866171,83.086
mp-866172,40.634
mp-866174,99.611
mp-866175,34.611
mp-866176,68.175
mp-866179,39.457
mp-866181,40.663
mp-866183,168.977
mp-866187,158.023
mp-866188,137.541
mp-866193,37.747
mp-866196,38.333
mp-866199,43.963
mp-866203,42.483
mp-866204,66.613
mp-866211,59.863
mp-866213,248.307
mp-866218,191.897
mp-866219,199.577
mp-866220,44.441
mp-866223,52.306
mp-866224,197.731
mp-866225,48.779
mp-866228,51.03
mp-866229,36.778
mp-866284,233.311
mp-866285,150.594
mp-866286,30.934
mp-866287,88.94
mp-866288,44.835
mp-866314,125.918
mp-866375,210.464
mp-867107,286.259
mp-867110,137.844
mp-867114,234.983
mp-867116,238.142
mp-867117,112.788
mp-867118,77.314
mp-867120,201.123
mp-867123,267.946
mp-867125,201.068
mp-867127,80.644
mp-867130,40.49
mp-867131,52.617
mp-867137,194.203
mp-867141,395.382
mp-867143,69.324
mp-867144,40.504
mp-867146,196.752
mp-867147,20.768
mp-867148,145.866
mp-867149,29.052
mp-867156,167.594
mp-867157,60.568
mp-867159,40.294
mp-867160,64.741
mp-867167,26.242
mp-867169,30.248
mp-867171,30.554
mp-867172,29.945
mp-867177,57.938
mp-867178,50.25
mp-867181,59.687
mp-867189,44.905
mp-867191,53.486
mp-867196,71.539
mp-867200,35.282
mp-867206,84.2
mp-867207,28.446
mp-867211,27.505
mp-867212,377.014
mp-867214,130.801
mp-867216,238.287
mp-867217,47.326
mp-867218,67.274
mp-867221,171.176
mp-867224,41.739
mp-867233,119.005
mp-867234,61.719
mp-867235,80.823
mp-867241,56.205
mp-867242,78.569
mp-867243,120.86
mp-867246,71.201
mp-867249,219.675
mp-867250,87.893
mp-867251,104.433
mp-867252,41.35
mp-867253,116.817
mp-867254,84.99
mp-867255,80.793
mp-867257,40.978
mp-867258,109.393
mp-867263,68.137
mp-867264,374.539
mp-867266,33.477
mp-867270,207.943
mp-867271,194.115
mp-867272,87.133
mp-867273,210.143
mp-867274,219.36
mp-867275,276.013
mp-867277,55.443
mp-867280,238.159
mp-867281,286.08
mp-867285,81.503
mp-867287,76.048
mp-867288,59.883
mp-867290,60.402
mp-867292,199.112
mp-867293,171.867
mp-867304,212.177
mp-867306,134.721
mp-867307,193.573
mp-867319,199.848
mp-867326,200.128
mp-867327,193.02
mp-867345,341.997
mp-867346,72.453
mp-867348,57.967
mp-867350,30.387
mp-867353,99.567
mp-867356,308.589
mp-867357,286.678
mp-867361,83.944
mp-867372,82.451
mp-867422,65.405
mp-867507,222.56
mp-867568,116.019
mp-867748,169.616
mp-867761,135.073
mp-867762,84.578
mp-867769,151.149
mp-867771,224.467
mp-867773,54.341
mp-867775,180.486
mp-867780,106.001
mp-867786,220.674
mp-867788,268.88
mp-867792,358.896
mp-867794,129.422
mp-867795,186.133
mp-867802,127.176
mp-867803,23.718
mp-867807,41.8
mp-867810,52.184
mp-867821,207.781
mp-867826,62.879
mp-867828,227.135
mp-867829,179.191
mp-867834,146.996
mp-867835,247.221
mp-867837,254.421
mp-867838,74.927
mp-867840,206.038
mp-867842,149.145
mp-867846,257.421
mp-867849,32.155
mp-867850,149.04
mp-867853,67.735
mp-867861,40.002
mp-867862,62.849
mp-867863,100.508
mp-867869,83.326
mp-867870,68.731
mp-867873,53.804
mp-867874,241.663
mp-867878,214.474
mp-867879,57.544
mp-867881,143.099
mp-867882,82.573
mp-867894,50.087
mp-867896,99.218
mp-867897,204.892
mp-867899,110.279
mp-867902,186.513
mp-867904,214.114
mp-867909,139.152
mp-867911,113.454
mp-867916,192.627
mp-867917,199.92
mp-867919,177.241
mp-867920,84.38
mp-867922,163.077
mp-867924,93.448
mp-867925,37.418
mp-867927,223.046
mp-867928,163.021
mp-867932,68.5
mp-867978,121.874
mp-867979,52.025
mp-867985,77.954
mp-924128,127.878
mp-924129,115.909
mp-924130,123.819
mp-952566,22.663
mp-961673,146.311
mp-961682,118.974
mp-961685,33.378
mp-961687,118.393
mp-961693,106.206
mp-961713,133.908
mp-971669,100.502
mp-971799,66.15
mp-971914,78.261
mp-972042,92.401
mp-972048,91.897
mp-972062,53.312
mp-972071,203.583
mp-972205,263.582
mp-972228,125.408
mp-972238,179.691
mp-972241,217.331
mp-972323,251.053
mp-972326,261.344
mp-972337,216.082
mp-972352,24.014
mp-972526,84.809
mp-972536,57.182
mp-972541,52.625
mp-972623,83.971
mp-972635,62.653
mp-972653,52.516
mp-972659,136.209
mp-972810,286.173
mp-972879,125.306
mp-972907,78.735
mp-972957,177.267
mp-973088,68.284
mp-973267,180.938
mp-973571,44.851
mp-973633,128.819
mp-973653,69.957
mp-973756,167.213
mp-973887,51.146
mp-973956,66.319
mp-973966,29.761
mp-974221,52.564
mp-974326,331.196
mp-974358,337.871
mp-974435,388.181
mp-974437,400.846
mp-974455,352.99
mp-974616,249.556
mp-974943,182.079
mp-975044,162.926
mp-975049,57.477
mp-975359,39.583
mp-975640,79.671
mp-975646,61.109
mp-975652,54.837
mp-975788,54.491
mp-975822,51.524
mp-975834,295.76
mp-975883,55.153
mp-975896,50.892
mp-975904,22.645
mp-975933,55.325
mp-976047,25.641
mp-976106,104.481
mp-976273,133.921
mp-976280,19.461
mp-976333,33.082
mp-976426,54.534
mp-976976,140.811
mp-977176,190.453
mp-977353,256.583
mp-977356,216.901
mp-977362,177.634
mp-977363,242.63
mp-977367,144.382
mp-977369,62.805
mp-977372,58.633
mp-977375,3.636
mp-977376,87.541
mp-977380,57.675
mp-977382,227.823
mp-977384,204.49
mp-977385,95.25
mp-977390,225.21
mp-977392,53.469
mp-977396,113.246
mp-977398,71.476
mp-977399,84.673
mp-977401,233.221
mp-977407,197.44
mp-977415,89.835
mp-977418,68.967
mp-977421,132.553
mp-977425,243.884
mp-977427,174.554
mp-977430,188.842
mp-977434,208.891
mp-977436,188.517
mp-977438,136.968
mp-977442,37.583
mp-977443,205.066
mp-977455,140.937
mp-977462,121.203
mp-977463,136.68
mp-977534,203.512
mp-977537,161.156
mp-977541,206.099
mp-977542,42.072
mp-977545,238.342
mp-977546,56.628
mp-977547,140.599
mp-977549,196.255
mp-977550,188.108
mp-977554,72.567
mp-977559,73.819
mp-977561,222.448
mp-977563,209.556
mp-977566,101.961
mp-977572,175.266
mp-977578,159.375
mp-977580,64.52
mp-977582,172.759
mp-977585,96.017
mp-977589,60.245
mp-978085,52.072
mp-978256,35.144
mp-978275,183.359
mp-978278,11.036
mp-978513,40.708
mp-978527,54.144
mp-978529,63.549
mp-978545,59.622
mp-978557,61.688
mp-978563,56.394
mp-978564,53.46
mp-978568,193.812
mp-978807,57.031
mp-978853,90.062
mp-978911,64.962
mp-978929,34.157
mp-978953,33.088
mp-978973,56.78
mp-978975,54.245
mp-978986,76.495
mp-978987,70.823
mp-978988,68.08
mp-979115,115.12
mp-979176,71.509
mp-979267,231.554
mp-979287,67.917
mp-979289,275.924
mp-979430,55.052
mp-979465,54.374
mp-979910,218.716
mp-979934,63.799
mp-979961,38.785
mp-979967,39.597
mp-980004,93.932
mp-980059,102.32
mp-980062,48.824
mp-980064,52.673
mp-980199,52.438
mp-980206,132.156
mp-980429,44.884
mp-980669,209.285
mp-980760,99.958
mp-981311,29.409
mp-981365,268.222
mp-981547,83.047
mp-981548,53.212
mp-982004,83.172
mp-982387,56.196
mp-982393,56.992
mp-982511,97.878
mp-982557,69.96
mp-982613,55.365
mp-982772,87.278
mp-983063,58.175
mp-983123,121.119
mp-983154,75.923
mp-983229,74.896
mp-983236,87.655
mp-983427,60.869
mp-983428,55.936
mp-983590,151.52
mp-984352,203.003
mp-984551,44.138
mp-984744,23.597
mp-984767,57.572
mp-985278,114.006
mp-985296,105.215
mp-985439,57.169
mp-985450,37.832
mp-985806,96.231
mp-985829,14.334
mp-985831,16.811
mp-989405,16.592
mp-989512,22.841
mp-989523,36.315
mp-989524,167.515
mp-989533,39.944
mp-989535,23.35
mp-989537,31.424
mp-989540,43.347
mp-989541,33.711
mp-989545,18.041
mp-989548,34.898
mp-989551,41.494
mp-989561,42.375
mp-989566,37.52
mp-989568,31.063
mp-989575,23.081
mp-989578,38.727
mp-989583,20.952
mp-989585,26.386
mp-989590,45.559
mp-989592,37.078
mp-989605,28.556
mp-989635,106.478
mp-989642,23.548
mp-990440,80.895
mp-991676,30.476
mp-996161,200.473
mp-996162,169.752
mp-996944,14.846
mp-996975,111.192
mp-996983,63.604
mp-996990,82.961
mp-997010,87.57
mp-997012,136.396
mp-997024,25.856
mp-997034,76.627
mp-997617,354.637
mp-998552,159.196
mp-998964,192.595
mp-998980,189.547
mp-999088,180.213
mp-999121,29.494
mp-999126,44.885
mp-999127,37.348
mp-999132,28.406
mp-999133,201.83
mp-999145,70.621
mp-999269,24.988
mp-999298,159.176
mp-999336,73.81
mp-999376,229.595
mp-999450,35.686
mp-999455,43.099
mp-999460,51.116
mp-999470,41.505
mp-999474,37.932
mp-999490,45.768
mp-999502,275.137
mp-999540,51.3
mp-1001612,97.309
mp-1001786,55.65
mp-1001833,35.088
mp-1001835,70.778
mp-1002136,64.033
mp-1005693,56.894
mp-1006146,32.63
mp-1007663,29.727
mp-1007666,83.589
mp-1007691,176.476
mp-1007881,251.424
mp-1007907,29.857
mp-1007908,29.759
mp-1007918,82.469
mp-1008488,89.644
mp-1008506,48.357
mp-1008561,30.528
mp-1008617,51.549
mp-1008680,151.635
mp-1008903,58.085
mp-1009077,173.813
mp-1009087,76.364
mp-1009088,68.992
mp-1009133,192.154
mp-1009222,35.201
mp-1009545,221.916
mp-1009657,82.688
mp-1009733,36.951
mp-1009755,34.833
mp-1011695,11.808
mp-1013525,26.366
mp-1013527,83.09
mp-1013548,57.655
mp-1013554,49.284
mp-1013555,47.628
mp-1014227,147.64
mp-1014229,112.106
mp-1014230,110.695
mp-1014231,109.609
mp-1014244,177.173
mp-1014251,188.438
mp-1014252,149.253
mp-1014257,145.73
mp-1014265,174.788
mp-1016108,154.329
mp-1016197,57.986
mp-1017507,86.722
mp-1017508,30.603
mp-1017540,79.118
mp-1017554,182.751
mp-1017578,223.425
mp-1017627,99.463
mp-1017985,102.455
mp-1017987,331.138
mp-1018025,115.236
mp-1018027,334.002
mp-1018028,139.693
mp-1018029,147.228
mp-1018031,86.691
mp-1018040,44.971
mp-1018048,135.707
mp-1018062,177.299
mp-1018066,167.812
mp-1018104,78.996
mp-1018107,13.477
mp-1018124,162.15
mp-1018126,36.141
mp-1018128,88.836
mp-1018133,82.256
mp-1018134,13.804
mp-1018135,46.596
mp-1018136,78.997
mp-1018138,9.164
mp-1018139,81.591
mp-1018144,82.577
mp-1018148,117.569
mp-1018149,101.63
mp-1018151,194.599
mp-1018154,111.5
mp-1018166,224.534
mp-1018641,96.02
mp-1018652,21.748
mp-1018694,75.872
mp-1018709,93.197
mp-1018714,125.165
mp-1018720,160.956
mp-1018725,101.221
mp-1018726,156.878
mp-1018745,78.626
mp-1018764,44.465
mp-1018770,37.325
mp-1018780,38.262
mp-1018814,58.382
mp-1018895,77.229
mp-1018902,86.816
mp-1018936,57.378
mp-1019089,27.165
mp-1019100,84.808
mp-1019105,19.85
mp-1019108,104.084
mp-1019109,89.845
mp-1019138,59.933
mp-1019259,36.162
mp-1019277,32.261
mp-1019279,37.518
mp-1019317,309.759
mp-1019361,69.097
mp-1019362,65.77
mp-1019509,32.078
mp-1019544,147.064
mp-1019550,189.429
mp-1020059,122.768
mp-1021323,140.283
mp-1021328,0.79
mp-1024954,79.602
mp-1024955,88.333
mp-1024957,109.749
mp-1024987,104.289
mp-1024990,251.607
mp-1024991,86.857
mp-1024993,247.431
mp-1024994,110.424
mp-1025045,140.178
mp-1025069,53.735
mp-1025071,232.651
mp-1025075,246.928
mp-1025096,70.145
mp-1025105,84.386
mp-1025116,109.243
mp-1025123,242.745
mp-1025134,115.869
mp-1025136,79.76
mp-1025154,42.627
mp-1025155,87.39
mp-1025158,53.382
mp-1025161,154.477
mp-1025165,131.585
mp-1025167,133.265
mp-1025170,224.584
mp-1025177,35.076
mp-1025180,48.783
mp-1025181,166.232
mp-1025183,165.827
mp-1025185,17.305
mp-1025187,197.567
mp-1025191,84.543
mp-1025193,103.655
mp-1025200,133.071
mp-1025201,10.332
mp-1025205,142.796
mp-1025208,36.666
mp-1025212,189.205
mp-1025213,203.239
mp-1025222,136.71
mp-1025223,116.342
mp-1025225,86.188
mp-1025238,96.793
mp-1025242,93.026
mp-1025246,167.373
mp-1025257,97.33
mp-1025258,157.545
mp-1025261,144.919
mp-1025263,91.139
mp-1025265,24.684
mp-1025266,156.439
mp-1025267,13.971
mp-1025270,214.19
mp-1025271,218.902
mp-1025272,209.307
mp-1025274,34.259
mp-1025285,114.211
mp-1025286,37.238
mp-1025288,92.096
